Path;SteerAngle;Throttle;Brake;Speed;X_Position;Y_Position;Pitch;Yaw;Roll
C:\Users\pocs.geza\Desktop\Udacity\RoboND-Rover-Project\recorded_dataset\IMG\robocam_2018_01_24_15_53_15_773.jpg;-8.604156;0;0;0;99.66999;85.58897;0.0002370296;51.77104;1.90639E-05
C:\Users\pocs.geza\Desktop\Udacity\RoboND-Rover-Project\recorded_dataset\IMG\robocam_2018_01_24_15_53_15_819.jpg;-6.044825;0;0;0;99.66999;85.58897;0.0002367485;51.04569;2.067864E-05
C:\Users\pocs.geza\Desktop\Udacity\RoboND-Rover-Project\recorded_dataset\IMG\robocam_2018_01_24_15_53_15_865.jpg;-3.294508;0;0;0;99.66999;85.58897;0.0002364678;50.45272;2.082145E-05
C:\Users\pocs.geza\Desktop\Udacity\RoboND-Rover-Project\recorded_dataset\IMG\robocam_2018_01_24_15_53_15_906.jpg;-0.6009762;0;0;0;99.66999;85.58897;0.0002362599;50.38063;1.948216E-05
C:\Users\pocs.geza\Desktop\Udacity\RoboND-Rover-Project\recorded_dataset\IMG\robocam_2018_01_24_15_53_15_951.jpg;0;0;0;0;99.66999;85.58897;0.0002361177;50.38063;1.767269E-05
C:\Users\pocs.geza\Desktop\Udacity\RoboND-Rover-Project\recorded_dataset\IMG\robocam_2018_01_24_15_53_15_994.jpg;0;0;0;0;99.66999;85.58897;0.0002358108;50.38063;1.569048E-05
C:\Users\pocs.geza\Desktop\Udacity\RoboND-Rover-Project\recorded_dataset\IMG\robocam_2018_01_24_15_53_16_038.jpg;-2.615242;0;0;0;99.66999;85.58897;0.0002360957;50.06682;1.486598E-05
C:\Users\pocs.geza\Desktop\Udacity\RoboND-Rover-Project\recorded_dataset\IMG\robocam_2018_01_24_15_53_16_081.jpg;-5.214845;0;0;0;99.66999;85.58897;0.00023596;49.12817;1.469019E-05
C:\Users\pocs.geza\Desktop\Udacity\RoboND-Rover-Project\recorded_dataset\IMG\robocam_2018_01_24_15_53_16_123.jpg;-2.62524;0;0;0;99.66999;85.58897;0.0002366487;48.81316;1.28769E-05
C:\Users\pocs.geza\Desktop\Udacity\RoboND-Rover-Project\recorded_dataset\IMG\robocam_2018_01_24_15_53_16_165.jpg;-0.1049323;0;0;0;99.66999;85.58897;0.0002372105;48.80061;9.97917E-06
C:\Users\pocs.geza\Desktop\Udacity\RoboND-Rover-Project\recorded_dataset\IMG\robocam_2018_01_24_15_53_16_207.jpg;0;0;0;0;99.66999;85.58897;0.000237344;48.80061;6.894043E-06
